Node,Biomass,Geothermal,RoR,WindOnshore,WindOffshore,PV
416,102.8818934,0,2.654184777,292.9307042,0,227.630775
417,7.517281994,0,0.005391313,96.69532793,0,46.26387871
418,22.80876758,0,0,209.5040272,0,113.6812996
419,48.58329037,0,0.041886354,211.0030306,0,210.9339468
420,28.33414816,0,0.152781511,426.9892866,0,129.4508688
421,6.007849554,0,0,112.9972186,336,125.3878135
422,0.337357187,0,0,10.27613499,0,8.93115064
423,34.25902465,0,0.156065284,152.2619093,0,46.78828853
424,22.99811162,0,0.307912588,430.6005563,0,83.59516708
425,0,0,0,0,0,0
426,0,0,0,0,0,0
427,31.21523824,0,0.084359613,153.3607833,0,62.1803932
428,0.298641462,0,0,0,0,12.37313065
429,0,0,0,0,0,0
430,22.98796053,0,0,1459.81739,0,240.4914591
431,24.41264797,0,0.021089903,526.608764,0,118.3976789
432,0,0,0,0,1447,0
433,14.16439687,0,3.093185817,47.58234935,0,33.28145685
434,0,0,0,0,0,0
435,30.4704926,0,0.555367453,77.82661876,0,56.39406097
436,64.21108655,0,0.144311178,281.7797412,0,240.573464
437,107.2113785,0,0.049209774,2381.130398,0,470.4421091
438,0,0,19,0,0,0
440,0,0,0,0,0,0
3676,2.482877285,0,2.561174498,26.2544989,0,28.19714792
3006,0,0,0,0,0,0
25,0,0,0,0,0,0
29,0,0,0,0,0,0
439,0,0,0,0,0,0
444,0,0,0,0,0,0
445,0,0,0,0,0,0
446,0,0,0,0,0,0
447,0,0,0,0,0,0
449,0,0,0,0,0,0
455,0,0,0,0,0,0
463,0,0,0,0,0,0
464,0,0,0,0,0,0
466,0,0,0,0,0,0
